Impact,Region,SSP,2020,2030,2040,2050
Eutrop. [MtonPO4_eq],Central Europe,SSP5,2.483584238,3.957365851,7.376653382,9.295658638
Eutrop. [MtonPO4_eq],Central Latin America,SSP1,1.462516268,2.896419704,5.186227337,6.338505846
Eutrop. [MtonPO4_eq],Central Latin America,SSP2,1.399207697,2.446818936,4.424153208,6.729617905
Eutrop. [MtonPO4_eq],Central Latin America,SSP3,1.346617392,2.251250071,3.169668234,4.251031073
Eutrop. [MtonPO4_eq],Central Latin America,SSP4,1.318389213,2.273475712,3.384444514,5.045613504
Eutrop. [MtonPO4_eq],Central Latin America,SSP5,1.470597972,2.988280731,5.468385505,6.475723185
Eutrop. [MtonPO4_eq],East Asia,SSP1,1.474071293,2.959015991,5.321162096,6.655876825
Eutrop. [MtonPO4_eq],East Asia,SSP2,1.409838097,2.500007334,4.581115787,7.064862879
Eutrop. [MtonPO4_eq],East Asia,SSP3,1.356477223,2.299204601,3.302362133,4.520601716
Eutrop. [MtonPO4_eq],East Asia,SSP4,1.327923112,2.3220067,3.526580882,5.365475418
Eutrop. [MtonPO4_eq],East Asia,SSP5,1.482260174,3.046340811,5.609320991,6.810840042
Eutrop. [MtonPO4_eq],North Africa and Middle East,SSP1,1.441475776,2.843832093,5.146912983,6.196212064
Eutrop. [MtonPO4_eq],North Africa and Middle East,SSP2,1.360204031,2.392732577,4.232831597,6.454651435
Eutrop. [MtonPO4_eq],North Africa and Middle East,SSP3,1.296025073,2.172785207,2.985246582,3.866408846
Eutrop. [MtonPO4_eq],North Africa and Middle East,SSP4,1.267231954,2.206172133,3.198101574,4.610659445
Eutrop. [MtonPO4_eq],North Africa and Middle East,SSP5,1.45199523,2.938068856,5.485894973,6.350443591
Eutrop. [MtonPO4_eq],Median,SSP1,1.45177949,2.883395504,5.152586547,6.288110077
Eutrop. [MtonPO4_eq],Median,SSP2,1.385517029,2.428143846,4.350806609,6.62518959
Eutrop. [MtonPO4_eq],Median,SSP3,1.333614502,2.218415057,3.105192501,4.127648307
Eutrop. [MtonPO4_eq],Median,SSP4,1.305302911,2.24647972,3.322796362,4.918033579
Eutrop. [MtonPO4_eq],Median,SSP5,1.46144114,2.971401753,5.458002125,6.424641859
