"Year","Reference_country_Scenario","SSP_Scenario","Type","Total_kg","total_Kt"
2025,"BR","SSP1","poultry",31517661748.4963,31517.6617484963
2030,"BR","SSP1","poultry",41524127050.8533,41524.1270508533
2035,"BR","SSP1","poultry",53555199495.8787,53555.1994958787
2040,"BR","SSP1","poultry",68347044743.8057,68347.0447438057
2045,"BR","SSP1","poultry",86281294061.0094,86281.2940610094
2050,"BR","SSP1","poultry",107436300381.793,107436.300381793
2010,"EG","SSP1","poultry",1770031565.19742,1770.03156519742
2011,"EG","SSP1","poultry",2730248175.69371,2730.24817569371
2012,"EG","SSP1","poultry",3614182028.73371,3614.18202873371
2013,"EG","SSP1","poultry",4430936307.04877,4430.93630704877
2015,"EG","SSP1","poultry",5895756658.9135,5895.7566589135
2020,"EG","SSP1","poultry",8885963793.83161,8885.96379383161
2025,"EG","SSP1","poultry",11381430734.9694,11381.4307349694
2030,"EG","SSP1","poultry",13664042997.4548,13664.0429974548
2035,"EG","SSP1","poultry",15712168326.9482,15712.1683269482
2040,"EG","SSP1","poultry",17256031180.0644,17256.0311800644
2045,"EG","SSP1","poultry",17833087204.7947,17833.0872047947
2050,"EG","SSP1","poultry",16843397720.9289,16843.3977209289
2010,"VN","SSP1","poultry",1990428261.8762,1990.4282618762
2011,"VN","SSP1","poultry",2628446088.23043,2628.44608823043
2012,"VN","SSP1","poultry",3291585073.01256,3291.58507301256
2013,"VN","SSP1","poultry",3975614832.94794,3975.61483294794
2015,"VN","SSP1","poultry",5397256663.29803,5397.25666329803
2020,"VN","SSP1","poultry",9311857516.77926,9311.85751677926
2025,"VN","SSP1","poultry",14275371571.9802,14275.3715719802
2030,"VN","SSP1","poultry",21564619028.8046,21564.6190288046
2035,"VN","SSP1","poultry",33036163438.5216,33036.1634385216
2040,"VN","SSP1","poultry",50970375604.8887,50970.3756048887
2045,"VN","SSP1","poultry",77915497485.2747,77915.4974852747
2050,"VN","SSP1","poultry",116531706091.782,116531.706091782
2010,"CH","SSP1","mutton",1015925190.18538,1015.92519018538
2011,"CH","SSP1","mutton",1365754853.46524,1365.75485346524
2012,"CH","SSP1","mutton",1689211336.77264,1689.21133677264
2013,"CH","SSP1","mutton",1989437534.78454,1989.43753478454
2015,"CH","SSP1","mutton",2531575429.26679,2531.57542926679
2020,"CH","SSP1","mutton",3655611458.69403,3655.61145869403
2025,"CH","SSP1","mutton",4613959423.36721,4613.95942336721
2030,"CH","SSP1","mutton",5511807340.83006,5511.80734083006
2035,"CH","SSP1","mutton",6351980048.6718,6351.9800486718
2040,"CH","SSP1","mutton",7053314151.92891,7053.31415192891
2045,"CH","SSP1","mutton",7469032970.487,7469.032970487
2050,"CH","SSP1","mutton",7405121486.48259,7405.12148648259
2010,"BR","SSP1","mutton",1329606805.77039,1329.60680577039
2011,"BR","SSP1","mutton",1350537117.96151,1350.53711796151
2012,"BR","SSP1","mutton",1372824600.25947,1372.82460025947
2013,"BR","SSP1","mutton",1396342750.01449,1396.34275001449
2015,"BR","SSP1","mutton",1446591016.94188,1446.59101694188
2020,"BR","SSP1","mutton",1585871808.87718,1585.87180887718
2025,"BR","SSP1","mutton",1735318369.72989,1735.31836972989
2030,"BR","SSP1","mutton",1885549297.51097,1885.54929751097
2035,"BR","SSP1","mutton",2029613660.46479,2029.61366046479
2040,"BR","SSP1","mutton",2162672057.44507,2162.67205744507
2045,"BR","SSP1","mutton",2281677678.29098,2281.67767829098
2050,"BR","SSP1","mutton",2385057364.20305,2385.05736420305
2010,"EG","SSP1","mutton",1329606805.77039,1329.60680577039
2011,"EG","SSP1","mutton",1350537117.96151,1350.53711796151
2012,"EG","SSP1","mutton",1372824600.25947,1372.82460025947
2013,"EG","SSP1","mutton",1396342750.01449,1396.34275001449
2015,"EG","SSP1","mutton",1446591016.94188,1446.59101694188
2020,"EG","SSP1","mutton",1585871808.87718,1585.87180887718
2025,"EG","SSP1","mutton",1735318369.72989,1735.31836972989
2030,"EG","SSP1","mutton",1885549297.51097,1885.54929751097
2035,"EG","SSP1","mutton",2029613660.46479,2029.61366046479
2040,"EG","SSP1","mutton",2162672057.44507,2162.67205744507
2045,"EG","SSP1","mutton",2281677678.29098,2281.67767829098
2050,"EG","SSP1","mutton",2385057364.20305,2385.05736420305
2010,"VN","SSP1","mutton",1314179415.95913,1314.17941595913
2011,"VN","SSP1","mutton",1350961319.95857,1350.96131995857
2012,"VN","SSP1","mutton",1388028097.36011,1388.02809736011
2013,"VN","SSP1","mutton",1425374764.69844,1425.37476469844
2015,"VN","SSP1","mutton",1500891243.57411,1500.89124357411
2020,"VN","SSP1","mutton",1694355847.84655,1694.35584784655
2025,"VN","SSP1","mutton",1894391114.48874,1894.39111448874
2030,"VN","SSP1","mutton",2101077488.66496,2101.07748866496
2035,"VN","SSP1","mutton",2314653185.37798,2314.65318537798
2040,"VN","SSP1","mutton",2535409399.8555,2535.4093998555
2045,"VN","SSP1","mutton",2763585517.93669,2763.58551793669
2050,"VN","SSP1","mutton",2999264326.45866,2999.26432645866
2010,"CH","SSP3","beef",3924760254.72546,3924.76025472546
2011,"CH","SSP3","beef",4541457912.3281,4541.4579123281
2012,"CH","SSP3","beef",5126532272.25581,5126.53227225581
2013,"CH","SSP3","beef",5682529269.6868,5682.5292696868
2015,"CH","SSP3","beef",6716891182.96685,6716.89118296685
2020,"CH","SSP3","beef",8950192936.45977,8950.19293645977
2025,"CH","SSP3","beef",10860438606.6551,10860.4386066551
2030,"CH","SSP3","beef",12622253790.3425,12622.2537903425
2035,"CH","SSP3","beef",14356693099.8407,14356.6930998407
2040,"CH","SSP3","beef",16138816673.1876,16138.8166731876
2045,"CH","SSP3","beef",18005266684.3303,18005.2666843303
2050,"CH","SSP3","beef",19961843853.3157,19961.8438533157
2010,"BR","SSP3","beef",2524404275.24821,2524.40427524821
2011,"BR","SSP3","beef",4653698749.12025,4653.69874912025
2012,"BR","SSP3","beef",6644478881.442,6644.478881442
2013,"BR","SSP3","beef",8507438195.73506,8507.43819573506
2015,"BR","SSP3","beef",11890291439.0103,11890.2914390103
2020,"BR","SSP3","beef",18769638579.191,18769.638579191
2025,"BR","SSP3","beef",24163054093.8976,24163.0540938976
2030,"BR","SSP3","beef",28821541933.2616,28821.5419332616
2035,"BR","SSP3","beef",33276965519.8637,33276.9655198637
2040,"BR","SSP3","beef",37872511669.1579,37872.5116691579
2045,"BR","SSP3","beef",42793154509.8963,42793.1545098963
2050,"BR","SSP3","beef",48096119404.5537,48096.1194045537
2010,"EG","SSP3","beef",3831538110.48538,3831.53811048538
2011,"EG","SSP3","beef",4546352866.30591,4546.35286630591
2012,"EG","SSP3","beef",5223261178.20959,5223.26117820959
2013,"EG","SSP3","beef",5865339413.39415,5865.33941339415
2015,"EG","SSP3","beef",7056609449.88888,7056.60944988888
2020,"EG","SSP3","beef",9614200410.99254,9614.20041099254
2025,"EG","SSP3","beef",11789715018.9684,11789.7150189684
2030,"EG","SSP3","beef",13795029846.439,13795.029846439
2035,"EG","SSP3","beef",15777584789.7118,15777.5847897118
2040,"EG","SSP3","beef",17829473845.0131,17829.4738450131
2045,"EG","SSP3","beef",19996535884.7225,19996.5358847226
2050,"EG","SSP3","beef",22287445433.6067,22287.4454336067
2010,"VN","SSP3","beef",4390892074.68819,4390.89207468819
2011,"VN","SSP3","beef",4466014984.31456,4466.01498431456
2012,"VN","SSP3","beef",4557399415.10937,4557.39941510937
2013,"VN","SSP3","beef",4664702565.30175,4664.70256530175
2015,"VN","SSP3","beef",4925728321.40848,4925.72832140848
2020,"VN","SSP3","beef",5834190494.7222,5834.1904947222
2025,"VN","SSP3","beef",7078482964.76655,7078.48296476655
2030,"VN","SSP3","beef",8624842052.28641,8624.84205228641
2035,"VN","SSP3","beef",10443355819.6589,10443.3558196589
2040,"VN","SSP3","beef",12507783861.9179,12507.7838619179
2045,"VN","SSP3","beef",14795377097.7787,14795.3770977787
2050,"VN","SSP3","beef",17286697560.6628,17286.6975606627
2010,"CH","SSP3","pork",1.615,1.615e-06
2011,"CH","SSP3","pork",1508603281.74422,1508.60328174422
2012,"CH","SSP3","pork",4800256972.9621,4800.2569729621
2013,"CH","SSP3","pork",7856398859.67455,7856.39885967455
2015,"CH","SSP3","pork",13333767111.4367,13333.7671114367
2020,"CH","SSP3","pork",24075154211.9297,24075.1542119297
2025,"CH","SSP3","pork",31965716147.1583,31965.7161471583
2030,"CH","SSP3","pork",38346610517.2814,38346.6105172814
