"Year","SSP_Scenario","Scenario_region","Population","Type","Total_kg","total_Kt"
2025,"SSP2","Central Latin America",1137645211.04193,"beef_tot",8133486955.95864,8133.48695595865
2025,"SSP2","East Asia",1137645211.04193,"beef_tot",7139690973.09988,7139.69097309988
2025,"SSP3","North Africa and Middle East",1185186940.95101,"beef_tot",7101881236.95534,7101.88123695534
2025,"SSP3","Central Latin America",1185186940.95101,"beef_tot",8255358379.02001,8255.35837902001
2025,"SSP3","East Asia",1185186940.95101,"beef_tot",7081351682.7328,7081.3516827328
2025,"SSP3","Central Europe",1185186940.95101,"beef_tot",9340288320.18379,9340.28832018379
2025,"SSP4","Central Latin America",1181892226.26957,"beef_tot",8232732757.19569,8232.73275719569
2025,"SSP4","East Asia",1181892226.26957,"beef_tot",7061666152.50346,7061.66615250346
2025,"SSP4","North Africa and Middle East",1181892226.26957,"beef_tot",7082138636.38429,7082.13863638429
2025,"SSP4","Central Europe",1181892226.26957,"beef_tot",9314323146.25716,9314.32314625716
2025,"SSP5","East Asia",1087101836.11198,"beef_tot",7444362726.57181,7444.36272657181
2025,"SSP5","Central Europe",1087101836.11198,"beef_tot",9097274421.4434,9097.2744214434
2025,"SSP5","Central Latin America",1087101836.11198,"beef_tot",8498693942.54264,8498.69394254264
2025,"SSP5","North Africa and Middle East",1087101836.11198,"beef_tot",7117326529.31693,7117.32652931693
2030,"SSP1","Central Europe",1181202385.29684,"beef_tot",11251981059.7497,11251.9810597497
2030,"SSP1","East Asia",1181202385.29684,"beef_tot",9279607319.98649,9279.60731998649
2030,"SSP1","North Africa and Middle East",1181202385.29684,"beef_tot",8508104902.34557,8508.10490234557
2030,"SSP1","Central Latin America",1181202385.29684,"beef_tot",10384606223.9487,10384.6062239487
2030,"SSP2","North Africa and Middle East",1255444397.1806,"beef_tot",8371911792.16218,8371.91179216218
2030,"SSP2","Central Europe",1255444397.1806,"beef_tot",10757628859.3517,10757.6288593517
2030,"SSP2","Central Latin America",1255444397.1806,"beef_tot",9685044551.88041,9685.04455188041
2030,"SSP2","East Asia",1255444397.1806,"beef_tot",8586461460.61057,8586.46146061057
2030,"SSP3","North Africa and Middle East",1337405242.76044,"beef_tot",8230789423.57764,8230.78942357764
2030,"SSP3","Central Latin America",1337405242.76044,"beef_tot",9432097145.76523,9432.09714576523
2030,"SSP3","East Asia",1337405242.76044,"beef_tot",8149470923.16537,8149.47092316537
2030,"SSP3","Central Europe",1337405242.76044,"beef_tot",10956663904.0815,10956.6639040815
2030,"SSP4","Central Latin America",1331684743.97647,"beef_tot",9429125988.8673,9429.1259888673
2030,"SSP4","East Asia",1331684743.97647,"beef_tot",8179803631.71086,8179.80363171086
2030,"SSP4","North Africa and Middle East",1331684743.97647,"beef_tot",8248448164.88037,8248.44816488037
2030,"SSP4","Central Europe",1331684743.97647,"beef_tot",10973480670.1986,10973.4806701986
2030,"SSP5","East Asia",1173819717.37501,"beef_tot",9633817710.40321,9633.81771040321
2030,"SSP5","Central Europe",1173819717.37501,"beef_tot",11448663323.9601,11448.6633239601
2030,"SSP5","Central Latin America",1173819717.37501,"beef_tot",10842236416.0699,10842.2364160699
2030,"SSP5","North Africa and Middle East",1173819717.37501,"beef_tot",8597036498.22007,8597.03649822007
2035,"SSP1","Central Europe",1268628968.5527,"beef_tot",13252088776.3664,13252.0887763664
2035,"SSP1","East Asia",1268628968.5527,"beef_tot",11075178826.4826,11075.1788264826
2035,"SSP1","North Africa and Middle East",1268628968.5527,"beef_tot",9875132866.27038,9875.13286627038
2035,"SSP1","Central Latin America",1268628968.5527,"beef_tot",12688229389.0145,12688.2293890145
2035,"SSP2","North Africa and Middle East",1373973759.14438,"beef_tot",10102102791.3591,10102.1027913591
2035,"SSP2","Central Europe",1373973759.14438,"beef_tot",13554890178.9688,13554.8901789688
2035,"SSP2","Central Latin America",1373973759.14438,"beef_tot",12145905273.0328,12145.9052730328
2035,"SSP2","East Asia",1373973759.14438,"beef_tot",11093248035.7921,11093.2480357921
2035,"SSP3","North Africa and Middle East",1495467392.44111,"beef_tot",9613983322.74389,9613.98332274389
2035,"SSP3","Central Latin America",1495467392.44111,"beef_tot",10758113546.2246,10758.1135462246
2035,"SSP3","East Asia",1495467392.44111,"beef_tot",9769769217.22758,9769.76921722759
2035,"SSP3","Central Europe",1495467392.44111,"beef_tot",12939711330.2971,12939.7113302971
2035,"SSP4","Central Latin America",1486389922.16878,"beef_tot",10955239013.2456,10955.2390132456
2035,"SSP4","East Asia",1486389922.16878,"beef_tot",9949378656.61345,9949.37865661345
2035,"SSP4","North Africa and Middle East",1486389922.16878,"beef_tot",9766058259.19617,9766.05825919617
2035,"SSP4","Central Europe",1486389922.16878,"beef_tot",13074250589.2985,13074.2505892985
2035,"SSP5","East Asia",1257851769.39312,"beef_tot",11588809224.1997,11588.8092241997
2035,"SSP5","Central Europe",1257851769.39312,"beef_tot",13758708372.341,13758.708372341
2035,"SSP5","Central Latin America",1257851769.39312,"beef_tot",13789444793.9366,13789.4447939366
2035,"SSP5","North Africa and Middle East",1257851769.39312,"beef_tot",10465827640.852,10465.827640852
2040,"SSP1","Central Europe",1350538145.01664,"beef_tot",15034711359.2472,15034.7113592472
2040,"SSP1","East Asia",1350538145.01664,"beef_tot",12809931087.8638,12809.9310878638
2040,"SSP1","North Africa and Middle East",1350538145.01664,"beef_tot",11269784306.1152,11269.7843061152
2040,"SSP1","Central Latin America",1350538145.01664,"beef_tot",16010337226.5562,16010.3372265562
2040,"SSP2","North Africa and Middle East",1491265642.64493,"beef_tot",11175793613.4827,11175.7936134827
2040,"SSP2","Central Europe",1491265642.64493,"beef_tot",15512542370.7889,15512.5423707889
2040,"SSP2","Central Latin America",1491265642.64493,"beef_tot",14318462779.1753,14318.4627791753
2040,"SSP2","East Asia",1491265642.64493,"beef_tot",12790111117.5608,12790.1111175608
2040,"SSP3","North Africa and Middle East",1659910200.50307,"beef_tot",10875258829.3537,10875.2588293537
2040,"SSP3","Central Latin America",1659910200.50307,"beef_tot",12306470508.49,12306.47050849
2040,"SSP3","East Asia",1659910200.50307,"beef_tot",11316857729.4495,11316.8577294495
2040,"SSP3","Central Europe",1659910200.50307,"beef_tot",14818783367.711,14818.783367711
2040,"SSP4","Central Latin America",1646655145.30006,"beef_tot",12580782534.6112,12580.7825346112
2040,"SSP4","East Asia",1646655145.30006,"beef_tot",11559425731.136,11559.425731136
2040,"SSP4","North Africa and Middle East",1646655145.30006,"beef_tot",10908791103.7807,10908.7911037807
