,,,,2020,2030,2040,2050
GHG [GtonCO2_eq],East Asia,SSP1,pessimistic,0,0,0,0.0
GHG [GtonCO2_eq],East Asia,SSP1,baseline,0,0,0,0.0
GHG [GtonCO2_eq],East Asia,SSP1,optimistic,0,0,0,0.0
GHG [GtonCO2_eq],East Asia,SSP2,pessimistic,0,0,0,0.0
GHG [GtonCO2_eq],East Asia,SSP2,baseline,0,0,0,0.0
GHG [GtonCO2_eq],East Asia,SSP2,optimistic,0,0,0,0.0
GHG [GtonCO2_eq],East Asia,SSP3,pessimistic,0,0,0,0.0
GHG [GtonCO2_eq],East Asia,SSP3,baseline,0,0,0,0.0
GHG [GtonCO2_eq],East Asia,SSP3,optimistic,0,0,0,0.0
GHG [GtonCO2_eq],East Asia,SSP4,pessimistic,0,0,0,0.0
GHG [GtonCO2_eq],East Asia,SSP4,baseline,0,0,0,0.0
GHG [GtonCO2_eq],East Asia,SSP4,optimistic,0,0,0,0.0
GHG [GtonCO2_eq],East Asia,SSP5,pessimistic,0,0,0,0.0
GHG [GtonCO2_eq],East Asia,SSP5,baseline,0,0,0,0.0
GHG [GtonCO2_eq],East Asia,SSP5,optimistic,0,0,0,0.0
GHG [GtonCO2_eq],North Africa and Middle East,SSP1,pessimistic,0,0,0,0.0
GHG [GtonCO2_eq],North Africa and Middle East,SSP1,baseline,0,0,0,0.0
GHG [GtonCO2_eq],North Africa and Middle East,SSP1,optimistic,0,0,0,0.0
GHG [GtonCO2_eq],North Africa and Middle East,SSP2,pessimistic,0,0,0,0.0
GHG [GtonCO2_eq],North Africa and Middle East,SSP2,baseline,0,0,0,0.0
GHG [GtonCO2_eq],North Africa and Middle East,SSP2,optimistic,0,0,0,0.0
GHG [GtonCO2_eq],North Africa and Middle East,SSP3,pessimistic,0,0,0,0.0
GHG [GtonCO2_eq],North Africa and Middle East,SSP3,baseline,0,0,0,0.0
GHG [GtonCO2_eq],North Africa and Middle East,SSP3,optimistic,0,0,0,0.0
GHG [GtonCO2_eq],North Africa and Middle East,SSP4,pessimistic,0,0,0,0.0
GHG [GtonCO2_eq],North Africa and Middle East,SSP4,baseline,0,0,0,0.0
