,,,2020,2030,2040,2050
N2O [GtonCO2_eq],North Africa and Middle East,SSP2,0.09798500901188927,0.14961769230336824,0.2053075566686419,0.2577255371880263
N2O [GtonCO2_eq],North Africa and Middle East,SSP3,0.10157608990447145,0.1360379785259235,0.181294302074456,0.2303963684049216
N2O [GtonCO2_eq],North Africa and Middle East,SSP4,0.1015557544466401,0.1352648936121709,0.18715390537205565,0.251772164671037
N2O [GtonCO2_eq],North Africa and Middle East,SSP5,0.09490118352275514,0.16261857488298367,0.22963570134689165,0.2514389961835699
CO2_b [GtonCO2_eq],Central Europe,SSP1,0.13755164347134688,0.2517230284095818,0.3484164005608155,0.45767291876384836
CO2_b [GtonCO2_eq],Central Europe,SSP2,0.14065510985253143,0.235136238412824,0.36255450527303235,0.4591802176879989
CO2_b [GtonCO2_eq],Central Europe,SSP3,0.14425296475475022,0.21654481578770665,0.32478829027612294,0.4436226624884992
CO2_b [GtonCO2_eq],Central Europe,SSP4,0.14396891270264914,0.21757189280694503,0.33614775863032065,0.48146826646016505
CO2_b [GtonCO2_eq],Central Europe,SSP5,0.13719776608847847,0.25678173760066436,0.37133948587819027,0.46121601877921065
CO2_b [GtonCO2_eq],Central Latin America,SSP1,0.11824254840603449,0.21424223097611278,0.3328420369733032,0.4976878188402277
CO2_b [GtonCO2_eq],Central Latin America,SSP2,0.121664298243517,0.20073999979908752,0.29490782684067823,0.4316001993111792
CO2_b [GtonCO2_eq],Central Latin America,SSP3,0.1258426730311516,0.17996642786177883,0.2556493030927308,0.3542788805041529
CO2_b [GtonCO2_eq],Central Latin America,SSP4,0.1255854736140059,0.17976489545763605,0.26550813517905375,0.39059396421231923
CO2_b [GtonCO2_eq],Central Latin America,SSP5,0.1179319244424954,0.21380144126014952,0.38627452291263137,0.4937548212664884
CO2_b [GtonCO2_eq],East Asia,SSP1,0.10165916073740339,0.2017303168585338,0.28318063548217726,0.4103444963820134
CO2_b [GtonCO2_eq],East Asia,SSP2,0.10266696920365125,0.18767320209123647,0.28017255354383863,0.3742168288888375
CO2_b [GtonCO2_eq],East Asia,SSP3,0.10566317799283019,0.15776423015460664,0.23926786916712764,0.3256112416009156
CO2_b [GtonCO2_eq],East Asia,SSP4,0.10552347746213521,0.15945936633005628,0.2530654193533432,0.3676806755307835
CO2_b [GtonCO2_eq],East Asia,SSP5,0.1017802809510276,0.20581034313415908,0.31247754767698216,0.4175658224665113
CO2_b [GtonCO2_eq],North Africa and Middle East,SSP1,0.09172144174688773,0.16124281492316767,0.23630586843898096,0.30671359621586186
CO2_b [GtonCO2_eq],North Africa and Middle East,SSP2,0.09404405541789247,0.15283999548808944,0.22825232761217232,0.31409933864737655
CO2_b [GtonCO2_eq],North Africa and Middle East,SSP3,0.09746559912378372,0.13861228416539972,0.20151851787751485,0.2808675484636519
CO2_b [GtonCO2_eq],North Africa and Middle East,SSP4,0.09744217067887002,0.13790422491355453,0.20811134851786042,0.3071115733925778
CO2_b [GtonCO2_eq],North Africa and Middle East,SSP5,0.09118257784076113,0.1660169962809874,0.255044184783725,0.30761419790060107
Eutrop. [MtonPO4_eq],Central Europe,SSP1,2.8002720286342635,4.929815382455726,6.444871208675259,8.00202977947545
Eutrop. [MtonPO4_eq],Central Europe,SSP2,2.8637253700971534,4.60422134425744,6.692623981144598,7.987612458176822
Eutrop. [MtonPO4_eq],Central Europe,SSP3,2.937109167984669,4.239958364502221,5.989866701866408,7.678958630234949
Eutrop. [MtonPO4_eq],Central Europe,SSP4,2.931333963479157,4.260175384286495,6.199748945444518,8.339495182858972
Eutrop. [MtonPO4_eq],Central Europe,SSP5,2.793079428475512,5.028650478027713,6.874316838427283,8.11634046051951
Eutrop. [MtonPO4_eq],Central Latin America,SSP1,2.4501323644180886,4.34256229990673,6.559659885745545,9.521397440686732
Eutrop. [MtonPO4_eq],Central Latin America,SSP2,2.5217650986547233,4.069762804758718,5.808399482278529,8.258326389809408
Eutrop. [MtonPO4_eq],Central Latin America,SSP3,2.6088790091724015,3.652014857710677,5.035630293156874,6.774704207701742
Eutrop. [MtonPO4_eq],Central Latin America,SSP4,2.6035521857274775,3.6474893446998515,5.229223199753132,7.470820004701711
Eutrop. [MtonPO4_eq],Central Latin America,SSP5,2.4434973659365053,4.333634392076561,7.6141044982624235,9.450326760405217
Eutrop. [MtonPO4_eq],East Asia,SSP1,2.1104967783541912,4.11677441825378,5.640251911222827,7.966061575211971
Eutrop. [MtonPO4_eq],East Asia,SSP2,2.131736568374221,3.8303661650902696,5.57878585612625,7.265726997087465
Eutrop. [MtonPO4_eq],East Asia,SSP3,2.1942594946917064,3.221930542155416,4.766066874866861,6.316638046737885
Eutrop. [MtonPO4_eq],East Asia,SSP4,2.191380722494296,3.256529734527105,5.039841341133028,7.133240815795902
Eutrop. [MtonPO4_eq],East Asia,SSP5,2.11288653461924,4.1998199469400355,6.2215781315112775,8.111146536422554
Eutrop. [MtonPO4_eq],North Africa and Middle East,SSP1,1.874274057914704,3.169209900755938,4.38875964598105,5.3859553876359945
Eutrop. [MtonPO4_eq],North Africa and Middle East,SSP2,1.9219736693625615,3.0058761860868954,4.240519233318089,5.505551998905574
Eutrop. [MtonPO4_eq],North Africa and Middle East,SSP3,1.9920846630029032,2.7286357259517127,3.7486853896438608,4.929965501396472
Eutrop. [MtonPO4_eq],North Africa and Middle East,SSP4,1.991634070475297,2.7144460838258975,3.870947163273053,5.385712282489874
Eutrop. [MtonPO4_eq],North Africa and Middle East,SSP5,1.8631044345019132,3.262950148337707,4.735835613027409,5.408329727485136
