Year,SSP_Scenario,Scenario_region,Population,Type,Total_kg,total_Kt,dry_ton
2050,SSP5,Central Latin America,1464277473,mutton,7863818206,7863.818206,0
2050,SSP5,North Africa and Middle East,1464277473,mutton,8490543317,8490.543317,0
2020,SSP1,Central Europe,996712840.3,pork,4361307836,4361.307836,2547003.776
2020,SSP1,East Asia,996712840.3,pork,3596430509,3596.430509,2100315.417
2020,SSP1,North Africa and Middle East,996712840.3,pork,3782420974,3782.420974,2208933.849
2020,SSP1,Central Latin America,996712840.3,pork,3559368375,3559.368375,2078671.131
2020,SSP2,North Africa and Middle East,1022193525,pork,3644228233,3644.228233,2128229.288
2020,SSP2,Central Europe,1022193525,pork,4344505908,4344.505908,2537191.45
2020,SSP2,Central Latin America,1022193525,pork,3493512940,3493.51294,2040211.557
2020,SSP2,East Asia,1022193525,pork,3531522558,3531.522558,2062409.174
2020,SSP3,North Africa and Middle East,1045757433,pork,3651605920,3651.60592,2132537.857
2020,SSP3,Central Latin America,1045757433,pork,3497748758,3497.748758,2042685.275
2020,SSP3,East Asia,1045757433,pork,3536634584,3536.634584,2065394.597
2020,SSP3,Central Europe,1045757433,pork,4441841002,4441.841002,2594035.145
2020,SSP4,Central Latin America,1044232337,pork,3462110580,3462.11058,2021872.579
2020,SSP4,East Asia,1044232337,pork,3500939697,3500.939697,2044548.783
2020,SSP4,North Africa and Middle East,1044232337,pork,3609660709,3609.660709,2108041.854
2020,SSP4,Central Europe,1044232337,pork,4434481139,4434.481139,2589736.985
2020,SSP5,East Asia,994750142.5,pork,3597512122,3597.512122,2100947.079
2020,SSP5,Central Europe,994750142.5,pork,4354358349,4354.358349,2542945.276
2020,SSP5,Central Latin America,994750142.5,pork,3560522970,3560.52297,2079345.414
2020,SSP5,North Africa and Middle East,994750142.5,pork,3827506921,3827.506921,2235264.042
2030,SSP1,Central Europe,1181202385,pork,6269204492,6269.204492,3661215.423
2030,SSP1,East Asia,1181202385,pork,5692098181,5692.098181,3324185.338
2030,SSP1,North Africa and Middle East,1181202385,pork,6241394052,6241.394052,3644974.126
2030,SSP1,Central Latin America,1181202385,pork,5636222630,5636.22263,3291554.016
2030,SSP2,North Africa and Middle East,1255444397,pork,5358776548,5358.776548,3129525.504
2030,SSP2,Central Europe,1255444397,pork,5633042476,5633.042476,3289696.806
2030,SSP2,Central Latin America,1255444397,pork,4839696198,4839.696198,2826382.58
2030,SSP2,East Asia,1255444397,pork,4886379101,4886.379101,2853645.395
2030,SSP3,North Africa and Middle East,1337405243,pork,4976173983,4976.173983,2906085.606
2030,SSP3,Central Latin America,1337405243,pork,4669415343,4669.415343,2726938.56
2030,SSP3,East Asia,1337405243,pork,4719145908,4719.145908,2755981.21
2030,SSP3,Central Europe,1337405243,pork,5687400529,5687.400529,3321441.909
2030,SSP4,Central Latin America,1331684744,pork,4696232119,4696.232119,2742599.557
2030,SSP4,East Asia,1331684744,pork,4745749970,4745.74997,2771517.982
2030,SSP4,North Africa and Middle East,1331684744,pork,5138275886,5138.275886,3000753.117
2030,SSP4,Central Europe,1331684744,pork,5686700924,5686.700924,3321033.34
2030,SSP5,East Asia,1173819717,pork,5942695131,5942.695131,3470533.957
2030,SSP5,Central Europe,1173819717,pork,6436918997,6436.918997,3759160.694
2030,SSP5,Central Latin America,1173819717,pork,5922684868,5922.684868,3458847.963
2030,SSP5,North Africa and Middle East,1173819717,pork,6558762337,6558.762337,3830317.205
2040,SSP1,Central Europe,1350538145,pork,11487606414,11487.60641,6708762.143
2040,SSP1,East Asia,1350538145,pork,11938377937,11938.37794,6972012.717
2040,SSP1,North Africa and Middle East,1350538145,pork,14013125205,14013.12521,8183665.123
2040,SSP1,Central Latin America,1350538145,pork,12070076655,12070.07666,7048924.769
2040,SSP2,North Africa and Middle East,1491265643,pork,9816584923,9816.584923,5732885.595
2040,SSP2,Central Europe,1491265643,pork,9141217065,9141.217065,5338470.766
2040,SSP2,Central Latin America,1491265643,pork,8804680360,8804.68036,5141933.33
2040,SSP2,East Asia,1491265643,pork,8802449935,8802.449935,5140630.762
2040,SSP3,North Africa and Middle East,1659910201,pork,6655286299,6655.286299,3886687.199
2040,SSP3,Central Latin America,1659910201,pork,6066221095,6066.221095,3542673.119
2040,SSP3,East Asia,1659910201,pork,6127943802,6127.943802,3578719.18
2040,SSP3,Central Europe,1659910201,pork,7307040949,7307.040949,4267311.914
2040,SSP4,Central Latin America,1646655145,pork,6318627966,6318.627966,3690078.732
2040,SSP4,East Asia,1646655145,pork,6379857792,6379.857792,3725836.951
2040,SSP4,North Africa and Middle East,1646655145,pork,7007570372,7007.570372,4092421.097
2040,SSP4,Central Europe,1646655145,pork,7382180347,7382.180347,4311193.323
2040,SSP5,East Asia,1335860194,pork,13391358942,13391.35894,7820553.621
2040,SSP5,Central Europe,1335860194,pork,12679724975,12679.72498,7404959.388
2040,SSP5,Central Latin America,1335860194,pork,13476378120,13476.37812,7870204.822
2040,SSP5,North Africa and Middle East,1335860194,pork,15776705600,15776.7056,9213596.07
2050,SSP1,Central Europe,1488035847,pork,15471466280,15471.46628,9035336.308
2050,SSP1,East Asia,1488035847,pork,16866435819,16866.43582,9849998.519
2050,SSP1,North Africa and Middle East,1488035847,pork,19756389015,19756.38902,11537731.19
2050,SSP1,Central Latin America,1488035847,pork,16864158510,16864.15851,9848668.57
2050,SSP2,North Africa and Middle East,1714457209,pork,18171432027,18171.43203,10612116.31
2050,SSP2,Central Europe,1714457209,pork,14671705568,14671.70557,8568276.053
2050,SSP2,Central Latin America,1714457209,pork,15595448465,15595.44846,9107741.901
2050,SSP2,East Asia,1714457209,pork,15444004180,15444.00418,9019298.441
2050,SSP3,North Africa and Middle East,2004913219,pork,8562061081,8562.061081,5000243.671
2050,SSP3,Central Latin America,2004913219,pork,7609611152,7609.611152,4444012.913
2050,SSP3,East Asia,2004913219,pork,7684162577,7684.162577,4487550.945
