Impact,Region,SSP,Approach,2020,2030,2040,2050
Fossil Fuels [EJ],Central Europe,SSP3,baseline,0.234973118,0.339230941,0.468329763,0.615576247
Fossil Fuels [EJ],Central Europe,SSP3,optimistic,0.20287329,0.297324303,0.415559492,0.551010012
Fossil Fuels [EJ],Central Europe,SSP4,pessimistic,0.233782434,0.339151203,0.475970027,0.696825238
Fossil Fuels [EJ],Central Europe,SSP4,baseline,0.233782434,0.339151203,0.475970027,0.696825238
Fossil Fuels [EJ],Central Europe,SSP4,optimistic,0.201816118,0.297253226,0.422459899,0.62504986
Fossil Fuels [EJ],Central Europe,SSP5,pessimistic,0.233193183,0.38769846,0.788222348,1.061675922
Fossil Fuels [EJ],Central Europe,SSP5,baseline,0.233193183,0.38769846,0.788222348,1.061675922
Fossil Fuels [EJ],Central Europe,SSP5,optimistic,0.201242335,0.341286959,0.706618509,0.958963613
Fossil Fuels [EJ],Central Latin America,SSP1,pessimistic,0.152788111,0.289633857,0.607011793,0.823448626
Fossil Fuels [EJ],Central Latin America,SSP1,baseline,0.152788111,0.289633857,0.607011793,0.823448626
Fossil Fuels [EJ],Central Latin America,SSP1,optimistic,0.129303604,0.252929004,0.54293382,0.743120408
Fossil Fuels [EJ],Central Latin America,SSP2,pessimistic,0.147201251,0.24409606,0.471344712,0.806053051
Fossil Fuels [EJ],Central Latin America,SSP2,baseline,0.147201251,0.24409606,0.471344712,0.806053051
Fossil Fuels [EJ],Central Latin America,SSP2,optimistic,0.124296324,0.21180087,0.418664777,0.725822088
Fossil Fuels [EJ],Central Latin America,SSP3,pessimistic,0.144166392,0.226833714,0.321971338,0.437974703
Fossil Fuels [EJ],Central Latin America,SSP3,baseline,0.144166392,0.226833714,0.321971338,0.437974703
Fossil Fuels [EJ],Central Latin America,SSP3,optimistic,0.121625541,0.196321434,0.282990862,0.388930948
Fossil Fuels [EJ],Central Latin America,SSP4,pessimistic,0.141932687,0.228827832,0.342277631,0.520435261
Fossil Fuels [EJ],Central Latin America,SSP4,baseline,0.141932687,0.228827832,0.342277631,0.520435261
Fossil Fuels [EJ],Central Latin America,SSP4,optimistic,0.119622615,0.198114091,0.301297107,0.46371519
Fossil Fuels [EJ],Central Latin America,SSP5,pessimistic,0.153294819,0.302927544,0.664439392,0.906679087
Fossil Fuels [EJ],Central Latin America,SSP5,baseline,0.153294819,0.302927544,0.664439392,0.906679087
Fossil Fuels [EJ],Central Latin America,SSP5,optimistic,0.129751599,0.265025968,0.595616952,0.820620756
Fossil Fuels [EJ],East Asia,SSP1,pessimistic,0.158356315,0.308968236,0.664988668,0.944660021
Fossil Fuels [EJ],East Asia,SSP1,baseline,0.158356315,0.308968236,0.664988668,0.944660021
Fossil Fuels [EJ],East Asia,SSP1,optimistic,0.135769075,0.275170001,0.611218357,0.882993239
Fossil Fuels [EJ],East Asia,SSP2,pessimistic,0.152603832,0.260557368,0.52101633,0.920298689
Fossil Fuels [EJ],East Asia,SSP2,baseline,0.152603832,0.260557368,0.52101633,0.920298689
Fossil Fuels [EJ],East Asia,SSP2,optimistic,0.130572955,0.230794534,0.476195204,0.858389341
Fossil Fuels [EJ],East Asia,SSP3,pessimistic,0.149480661,0.242226849,0.358741202,0.507955172
Fossil Fuels [EJ],East Asia,SSP3,baseline,0.149480661,0.242226849,0.358741202,0.507955172
Fossil Fuels [EJ],East Asia,SSP3,optimistic,0.127801917,0.214106059,0.325245546,0.468956766
Fossil Fuels [EJ],East Asia,SSP4,pessimistic,0.147175357,0.244344675,0.381294774,0.6026837
